,peak_corr,peak_corr,peak_corr,peak_corr,peak_corr,snr_db,snr_db,snr_db,snr_db
,count,mean,std,median,max,mean,std,median,max
station,,,,,,,,,
EC1,28010,0.2944,0.0713,0.28,0.7074,-0.6022,4.0573,-0.3188,37.8434
EC10,2575,0.2935,0.0701,0.2816,0.6186,-0.374,2.8199,-0.284,16.2889
ECIT,3083,0.2979,0.0702,0.2892,0.6842,-0.235,1.5822,-0.2943,6.2435
ECOR,3224,0.2977,0.0719,0.2838,0.8054,-0.5691,4.3121,-0.2371,27.5109
ECPN,31934,0.3175,0.0861,0.3019,0.735,-0.5921,4.3954,-0.3149,45.769
EMAS,3334,0.2938,0.0699,0.2811,0.7723,-1.3,4.2863,-1.6706,17.2832
