,count,mean,std,min,max,sum
corr_mean_clean,112.0,0.10481248088317062,0.023618352488399448,0.0567636034151022,0.1505422021767777,
snr_mean_db_clean,,-0.5089017338789937,0.4525795090218036,-2.0162416260154705,0.8045700569747027,
n_peaks_clean,,,,,,72160.0
n_peaks_contaminated,,,,,,137918.0
n_peaks_lost,,,,,,65758.0
pct_peaks_lost,,45.464178367171826,,,,
