dataset,station,sim,template,peak_date,peak_time,peak_corr,snr_linear,snr_db,threshold_used,duration_s,event_dt,matched_arrival_dt,match_delta_s
ingv,EC1,sim4,template2,2023-01-01,09:38:34,0.5020803572237577,1.0442243820940484,0.375876590849186,0.5,,2023-01-01 09:38:34,2023-01-01 09:29:18.989953,555.010047
ingv,ECPN,sim4,template2,2023-01-03,15:04:50,0.5814392381043015,1.1707723795466802,1.3694493631756557,0.5,,2023-01-03 15:04:50,2023-01-03 14:57:35.650498,434.349502
ingv,ECPN,sim3,template2,2023-01-03,15:05:56,0.5356912130254073,1.1735000105470923,1.3896619567585944,0.5,,2023-01-03 15:05:56,2023-01-03 14:57:35.650498,500.349502
ingv,ECPN,sim4,template1,2023-01-03,23:21:19,0.5040969809921259,0.8978584808191834,-0.9358422163812052,0.5,,2023-01-03 23:21:19,2023-01-03 23:14:14.631711,424.368289
ingv,ECPN,sim4,template2,2023-01-05,07:13:57,0.525514466600724,1.069179705372452,0.5810141320976641,0.5,,2023-01-05 07:13:57,2023-01-05 07:22:42.482393,-525.482393
ingv,ECPN,sim3,template2,2023-01-05,07:14:48,0.5336445051911552,1.063230276380611,0.532546700262681,0.5,,2023-01-05 07:14:48,2023-01-05 07:22:42.482393,-474.482393
ingv,ECPN,sim4,template3,2023-01-06,21:50:35,0.5071152565388113,0.9184305183378716,-0.7390738724950786,0.5,,2023-01-06 21:50:35,2023-01-06 22:00:08.166487,-573.166487
ingv,ECPN,sim3,template1,2023-01-06,23:37:24,0.5278579269707694,1.154181087658596,1.2454790741573598,0.5,,2023-01-06 23:37:24,2023-01-06 23:28:26.370263,537.629737
ingv,ECPN,sim2,template3,2023-01-10,13:59:44,0.5881789723815692,1.04486264970348,0.3811840980072811,0.5,,2023-01-10 13:59:44,2023-01-10 13:51:12.598061,511.401939
ingv,ECPN,sim2,template1,2023-01-11,23:13:38,0.5409533196230486,1.048031279981735,0.4074848995330095,0.5,,2023-01-11 23:13:38,2023-01-11 23:23:37.637668,-599.637668
ingv,ECPN,sim3,template3,2023-01-12,08:08:41,0.6541046337443752,1.3808781871131235,2.8031073876782555,0.5,,2023-01-12 08:08:41,2023-01-12 08:00:58.383634,462.616366
