dataset,station,sim,template,peak_index,peak_time_dt,peak_corr,snr_db,snr_linear,cumulative_snr_linear,cumulative_snr_db,peak_type,duration,duration_s,event_dt
ingv,ECPN,sim2,template1,709868,2022-12-04 05:34:34,0.631757968686647,43.5746076795015,150.91429664448512,150.91429664448512,43.5746076795015,clean,,,2022-12-04 05:34:34
ingv,ECPN,sim3,template1,709875,2022-12-04 05:34:41,0.5776592476913165,43.57307317763279,150.88763756578857,150.88763756578857,43.57307317763279,clean,,,2022-12-04 05:34:41
ingv,ECPN,sim4,template1,710269,2022-12-04 05:41:15,0.6278473086901447,43.8315813593984,155.44582708168107,155.44582708168107,43.8315813593984,clean,,,2022-12-04 05:41:15
ingv,ECPN,sim1,template3,712700,2022-12-04 08:11:57,0.6966919162367536,42.58573098621154,134.67486513499642,134.67486513499642,42.58573098621154,clean,,,2022-12-04 08:11:57
ingv,EC1,sim1,template3,713534,2022-12-04 08:12:37,0.5716588504599329,38.16050309078528,80.91427637480116,80.91427637480116,38.16050309078528,clean,,,2022-12-04 08:12:37
ingv,ECPN,sim3,template1,2863863,2023-01-27 22:17:08,0.5122665086535649,12.32389612300761,4.132328192029228,4.132328192029228,12.32389612300761,clean,,,2023-01-27 22:17:08
ingv,ECPN,sim4,template1,2864013,2023-01-27 22:19:38,0.5722674349083052,12.319514030592469,4.130243929198201,4.130243929198201,12.319514030592469,clean,,,2023-01-27 22:19:38
ingv,EC1,sim2,template1,2988694,2023-01-30 18:49:58,0.5203876883391225,35.748094287066216,61.29213004345304,61.29213004345304,35.748094287066216,clean,,,2023-01-30 18:49:58
ingv,EC1,sim1,template3,2991535,2023-01-30 20:54:48,0.6049331254510619,35.52422073042075,59.73254741700904,59.73254741700904,35.52422073042075,clean,,,2023-01-30 20:54:48
ingv,EC1,sim1,template3,3107214,2023-02-04 07:05:52,0.6004828424266754,12.987709123879911,4.460519642603165,4.460519642603165,12.987709123879911,clean,,,2023-02-04 07:05:52
ingv,EC1,sim1,template3,3184863,2023-02-05 21:48:47,0.5605223155758913,22.01548329175029,12.61171548215677,12.61171548215677,22.01548329175029,clean,,,2023-02-05 21:48:47
ingv,ECPN,sim1,template3,3132250,2023-02-05 21:49:19,0.5974340488017194,14.496424593556384,5.306659591789592,5.306659591789592,14.496424593556384,clean,,,2023-02-05 21:49:19
experiment,ECOR,sim1,template1,2014,2023-07-24 04:56:47,0.8026322833413176,15.95367480151742,6.276011635411351,6.276011635411351,15.95367480151742,clean,,,2023-07-24 04:56:47
experiment,ECOR,sim1,template2,2076,2023-07-24 04:57:49,0.7026196543932214,14.440117349573008,5.272369845408497,5.272369845408497,14.440117349573008,clean,,,2023-07-24 04:57:49
experiment,EC10,sim2,template1,70190,2023-07-25 15:43:26,0.5667383759645512,13.750707210388144,4.870071759704873,4.870071759704873,13.750707210388144,clean,,,2023-07-25 15:43:26
experiment,EC10,sim1,template3,73213,2023-07-25 17:23:18,0.6539137691582619,12.951172711606633,4.441796275249619,4.441796275249619,12.951172711606633,clean,,,2023-07-25 17:23:18
