dataset,station,sim,template,n_peaks,avg_corr,avg_snr_linear,sst_label
experiment,EMAS,sim3,template2,220,0.29628407707509735,0.9992550496374067,EMAS-sim3-template2
experiment,EMAS,sim4,template1,220,0.29761087781518697,0.9649641541202876,EMAS-sim4-template1
experiment,EC1,sim4,template1,217,0.30955568434090386,0.9993856499752308,EC1-sim4-template1
experiment,ECIT,sim4,template1,216,0.30620347507703327,0.9915558173022101,ECIT-sim4-template1
experiment,EC10,sim1,template1,216,0.301360334337398,1.0026896448881144,EC10-sim1-template1
experiment,ECOR,sim3,template2,211,0.29145436670338426,1.0238613546395334,ECOR-sim3-template2
experiment,EC1,sim3,template2,210,0.30572547802542327,0.9990339799217225,EC1-sim3-template2
experiment,EC10,sim1,template2,210,0.2973096073114043,1.019917135838795,EC10-sim1-template2
experiment,EC10,sim2,template1,202,0.30186552661231414,0.9810936837972375,EC10-sim2-template1
experiment,ECIT,sim3,template3,202,0.2905836437955107,0.981210883215354,ECIT-sim3-template3
experiment,EMAS,sim3,template3,202,0.2967931699350973,1.000205571206369,EMAS-sim3-template3
experiment,ECIT,sim2,template2,201,0.297680467314239,0.9876803472951838,ECIT-sim2-template2
experiment,ECIT,sim3,template2,198,0.2960146090180812,0.9828615837644322,ECIT-sim3-template2
experiment,ECIT,sim4,template2,196,0.29097504566826554,0.9725948688229948,ECIT-sim4-template2
experiment,ECOR,sim2,template2,195,0.29336450322396357,1.0179860965466432,ECOR-sim2-template2
experiment,ECOR,sim4,template2,192,0.2937250923332994,1.0086408307017456,ECOR-sim4-template2
experiment,ECOR,sim4,template3,190,0.2975459948643359,1.0503057579154724,ECOR-sim4-template3
experiment,EC1,sim4,template2,189,0.30186641637924777,0.998419392336007,EC1-sim4-template2
experiment,ECOR,sim2,template3,188,0.2746828130598481,1.0329987213588656,ECOR-sim2-template3
experiment,EC1,sim2,template3,187,0.28938224819564984,0.9814850878514902,EC1-sim2-template3
experiment,ECIT,sim2,template3,186,0.29279112579727845,0.9875836486853298,ECIT-sim2-template3
experiment,EC1,sim4,template3,185,0.30116374123660355,1.0080542735361762,EC1-sim4-template3
experiment,EC10,sim4,template1,184,0.29681094904803534,1.0108712251813587,EC10-sim4-template1
experiment,EC10,sim3,template1,183,0.29662919746043914,1.0061032559597327,EC10-sim3-template1
experiment,ECOR,sim3,template3,179,0.28733465688579135,1.0178184695946566,ECOR-sim3-template3
experiment,EMAS,sim4,template2,178,0.29607922219416044,0.9819568971286652,EMAS-sim4-template2
experiment,EC10,sim2,template2,166,0.2881311493726219,1.0402206071429692,EC10-sim2-template2
experiment,EMAS,sim4,template3,166,0.2896557767158024,0.9870622020436202,EMAS-sim4-template3
experiment,ECIT,sim4,template3,164,0.29100828206600476,0.993632132331762,ECIT-sim4-template3
experiment,EC10,sim4,template2,161,0.28829958934598465,1.0334113502151263,EC10-sim4-template2
experiment,EC10,sim2,template3,161,0.2844671948306815,1.0479995454193238,EC10-sim2-template3
experiment,EC10,sim3,template2,153,0.2874642147909504,1.0370375200742905,EC10-sim3-template2
experiment,EC10,sim3,template3,145,0.28744516536567183,1.0334204630166415,EC10-sim3-template3
experiment,EC10,sim4,template3,144,0.27748821602465507,1.0421908975957632,EC10-sim4-template3
experiment,EMAS,sim1,template4,86,0.2262075562684218,0.9729270437131267,EMAS-sim1-template4
experiment,ECIT,sim1,template4,75,0.23356278825905155,0.9762949786527031,ECIT-sim1-template4
experiment,EC1,sim3,template4,70,0.2407799958551989,1.0670957539035304,EC1-sim3-template4
experiment,EC1,sim1,template4,64,0.22635219840443116,1.0279223786955178,EC1-sim1-template4
experiment,ECOR,sim1,template4,64,0.24312986236023704,1.0102944745640572,ECOR-sim1-template4
experiment,ECIT,sim2,template4,53,0.23636569107899263,1.073378129524379,ECIT-sim2-template4
experiment,EMAS,sim2,template4,53,0.24869576848293437,0.9259343990717915,EMAS-sim2-template4
experiment,EC1,sim2,template4,49,0.2341323448493412,1.0241044867377551,EC1-sim2-template4
experiment,EC10,sim1,template4,48,0.23446338811744127,1.0111274331176106,EC10-sim1-template4
experiment,EMAS,sim3,template4,46,0.2379759619210042,0.9650693771024655,EMAS-sim3-template4
experiment,ECIT,sim3,template4,45,0.228865500131433,0.9990487999290988,ECIT-sim3-template4
experiment,EC1,sim4,template4,43,0.24807391145569238,1.110381251710949,EC1-sim4-template4
experiment,EC10,sim2,template4,40,0.23270756513384408,1.0296564717261787,EC10-sim2-template4
experiment,EMAS,sim4,template4,40,0.2367583995380656,1.0203064259474608,EMAS-sim4-template4
experiment,ECIT,sim4,template4,34,0.24786367064425285,0.9930108916832462,ECIT-sim4-template4
experiment,ECOR,sim4,template4,33,0.23636394009211292,0.9727518678747303,ECOR-sim4-template4
experiment,EC10,sim3,template4,33,0.22670942128241192,1.0160046816116681,EC10-sim3-template4
experiment,ECOR,sim3,template4,30,0.23085345561452647,1.0198912012502508,ECOR-sim3-template4
experiment,EC10,sim4,template4,22,0.2325784805635845,1.1163271754073998,EC10-sim4-template4
experiment,ECOR,sim2,template4,21,0.22562767646089296,0.8688659202095846,ECOR-sim2-template4
