dataset,station,sim,template,n_peaks,avg_corr,avg_snr_linear,sst_label
experiment,EMAS,sim3,template2,216,0.2919902606345867,1.0052862418313813,EMAS-sim3-template2
experiment,EMAS,sim4,template1,216,0.29193272589633984,0.9533602990000191,EMAS-sim4-template1
experiment,EC10,sim1,template1,215,0.300224931077766,1.0029408340179446,EC10-sim1-template1
experiment,ECIT,sim4,template1,212,0.3020785678669026,0.9882838009012483,ECIT-sim4-template1
experiment,ECOR,sim3,template2,209,0.2892951786453154,1.0252738670566022,ECOR-sim3-template2
experiment,EC10,sim1,template2,209,0.2959293474181964,1.02134128200283,EC10-sim1-template2
experiment,EC1,sim4,template1,207,0.29877881249749083,0.9928841684120212,EC1-sim4-template1
experiment,EC1,sim3,template2,203,0.29741323392179075,0.9845914073917336,EC1-sim3-template2
experiment,EMAS,sim3,template3,200,0.29441059432021366,1.0029301210802652,EMAS-sim3-template3
experiment,ECIT,sim3,template3,199,0.28656156986531334,0.9789570598021721,ECIT-sim3-template3
experiment,EC10,sim2,template1,198,0.29696672671028657,0.9598249600403427,EC10-sim2-template1
experiment,ECIT,sim3,template2,196,0.293563090963508,0.9825779261024747,ECIT-sim3-template2
experiment,ECIT,sim2,template2,196,0.2915997060337832,0.9824349889907766,ECIT-sim2-template2
experiment,ECOR,sim2,template2,195,0.29336450322396357,1.0179860965466432,ECOR-sim2-template2
experiment,ECIT,sim4,template2,195,0.2898323388342729,0.9716976754355238,ECIT-sim4-template2
experiment,ECOR,sim4,template2,191,0.292541126325431,1.0084440543296596,ECOR-sim4-template2
experiment,ECOR,sim2,template3,188,0.2746828130598481,1.0329987213588656,ECOR-sim2-template3
experiment,ECOR,sim4,template3,187,0.2938018592329712,1.0518308352519008,ECOR-sim4-template3
experiment,EC1,sim4,template2,184,0.2945734026288452,0.9917636967536929,EC1-sim4-template2
experiment,EC1,sim2,template3,184,0.2857194242215907,0.9835160603155702,EC1-sim2-template3
experiment,EC10,sim3,template1,183,0.29662919746043914,1.0061032559597327,EC10-sim3-template1
experiment,ECIT,sim2,template3,183,0.2890456509545728,0.982861512556122,ECIT-sim2-template3
experiment,EC10,sim4,template1,183,0.29554266031062676,1.0111368458228858,EC10-sim4-template1
experiment,ECOR,sim3,template3,178,0.28583107808736286,1.017588569836017,ECOR-sim3-template3
experiment,EC1,sim4,template3,177,0.28866312908164504,0.9980713029769256,EC1-sim4-template3
experiment,EMAS,sim4,template2,174,0.29038912672924416,0.9883272222713217,EMAS-sim4-template2
experiment,EC10,sim2,template2,165,0.28676226554393475,1.0400700832075502,EC10-sim2-template2
experiment,EMAS,sim4,template3,165,0.28829438244411304,0.9907426769827308,EMAS-sim4-template3
experiment,ECIT,sim4,template3,163,0.28931986038352653,0.9930831772114119,ECIT-sim4-template3
experiment,EC10,sim4,template2,161,0.28829958934598465,1.0334113502151263,EC10-sim4-template2
experiment,EC10,sim2,template3,157,0.2781326112725034,1.0485833518868015,EC10-sim2-template3
experiment,EC10,sim3,template2,153,0.2874642147909504,1.0370375200742905,EC10-sim3-template2
experiment,EC10,sim3,template3,145,0.28744516536567183,1.0334204630166415,EC10-sim3-template3
experiment,EC10,sim4,template3,144,0.27748821602465507,1.0421908975957632,EC10-sim4-template3
experiment,EMAS,sim1,template4,86,0.2262075562684218,0.9729270437131267,EMAS-sim1-template4
experiment,ECIT,sim1,template4,75,0.23356278825905155,0.9762949786527031,ECIT-sim1-template4
experiment,EC1,sim3,template4,70,0.2407799958551989,1.0670957539035304,EC1-sim3-template4
experiment,EC1,sim1,template4,64,0.22635219840443116,1.0279223786955178,EC1-sim1-template4
experiment,ECOR,sim1,template4,63,0.2363949906405108,0.9759412080165927,ECOR-sim1-template4
experiment,ECIT,sim2,template4,53,0.23636569107899263,1.073378129524379,ECIT-sim2-template4
experiment,EMAS,sim2,template4,53,0.24869576848293437,0.9259343990717915,EMAS-sim2-template4
